actor_loss,algorithm,critic_loss,entropy,entropy_coef,episode,episode_collision_rate,episode_collisions,episode_return,episode_reward_collision,episode_reward_dist,episode_reward_energy,episode_reward_env,episode_reward_intent,episode_reward_safety,episode_reward_task,episode_reward_threat,episode_reward_time,episode_task_completion,eta,eval_collision_rate,eval_episode_collisions,eval_episode_return,eval_task_completion,potential_loss,return_mean
0.003092176280915737,mappo,4.958551289746538e-05,0.7740198969841003,0.0009843947982660886,52.0,,,,,,,,,,,,,,0.0,,,,,0.015098228119313717,0.0
,mappo,,,,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.0024832026101648808,mappo,5.564820094150491e-05,0.7889814376831055,0.0009840946982327442,53.0,,,,,,,,,,,,,,0.0,,,,,0.015678251162171364,0.0
,mappo,,,,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.0051449681632220745,mappo,4.2406398279126734e-05,0.7958065271377563,0.0009837945981993998,54.0,,,,,,,,,,,,,,0.0,,,,,0.01597069948911667,0.0
,mappo,,,,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.004590410739183426,mappo,3.603287404985167e-05,0.8137913942337036,0.0009834944981660554,55.0,,,,,,,,,,,,,,0.0,,,,,0.016197677701711655,0.0
,mappo,,,,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.0029339438769966364,mappo,4.375384742161259e-05,0.8221774697303772,0.000983194398132711,56.0,,,,,,,,,,,,,,0.0,,,,,0.016494832932949066,0.0
,mappo,,,,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.00227630534209311,mappo,3.7120178603800014e-05,0.8242172598838806,0.0009828942980993664,57.0,,,,,,,,,,,,,,0.0,,,,,0.016360871493816376,0.0
,mappo,,,,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.0015294244512915611,mappo,2.971958565467503e-05,0.8296424150466919,0.000982594198066022,58.0,,,,,,,,,,,,,,0.0,,,,,0.016444317996501923,0.0
,mappo,,,,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.00034289807081222534,mappo,2.7727197448257357e-05,0.8348799347877502,0.0009822940980326776,59.0,,,,,,,,,,,,,,0.0,,,,,0.016322195529937744,0.0
,mappo,,,,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.006299376953393221,mappo,2.3116055672289804e-05,0.8383665084838867,0.0009819939979993331,60.0,,,,,,,,,,,,,,0.0,,,,,0.016216889023780823,0.0
,mappo,,,,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.005402573850005865,mappo,3.7132460420252755e-05,0.8415182828903198,0.0009816938979659887,61.0,,,,,,,,,,,,,,0.0,,,,,0.017333392053842545,0.0
,mappo,,,,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
0.004012527409940958,mappo,2.445442441967316e-05,0.8509076833724976,0.0009813937979326443,62.0,,,,,,,,,,,,,,0.0,,,,,0.017335999757051468,0.0
,mappo,,,,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.003278158139437437,mappo,2.7318019419908524e-05,0.8357653021812439,0.0009810936978992997,63.0,,,,,,,,,,,,,,0.0,,,,,0.017058856785297394,0.0
,mappo,,,,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.006453584413975477,mappo,2.5972181902034208e-05,0.8038955926895142,0.0009807935978659553,64.0,,,,,,,,,,,,,,0.0,,,,,0.01723383739590645,0.0
,mappo,,,,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.004160002339631319,mappo,2.627048706926871e-05,0.7907907962799072,0.0009804934978326109,65.0,,,,,,,,,,,,,,0.0,,,,,0.01689203269779682,0.0
,mappo,,,,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.005262420978397131,mappo,1.1789540621975902e-05,0.8026406764984131,0.0009801933977992665,66.0,,,,,,,,,,,,,,0.0,,,,,0.016711125150322914,0.0
,mappo,,,,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.010132025927305222,mappo,1.0810196727106813e-05,0.827553391456604,0.000979893297765922,67.0,,,,,,,,,,,,,,0.0,,,,,0.01673923246562481,0.0
,mappo,,,,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.0028531718999147415,mappo,4.271636498742737e-06,0.8509051203727722,0.0009795931977325774,68.0,,,,,,,,,,,,,,0.0,,,,,0.016202181577682495,0.0
,mappo,,,,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.003422452136874199,mappo,6.978325473028235e-06,0.8656826019287109,0.000979293097699233,69.0,,,,,,,,,,,,,,0.0,,,,,0.01667925715446472,0.0
,mappo,,,,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
0.0013819331070408225,mappo,5.246945875114761e-06,0.8786138892173767,0.0009789929976658886,70.0,,,,,,,,,,,,,,0.0,,,,,0.016814187169075012,0.0
